tx_razao_social_osc,tx_nome_fantasia_osc,tx_nome_natureza_juridica,ano_inicio,tx_nome_classe_atividade_economica,tx_nome_subclasse_atividade_economica,tx_bairro,agg_tx_nome_area_atuacao,agg_tx_nome_subarea_atuacao
INSTITUTO PROJETO KAFFE SPORT,INSTITUTO KAFFE SPORT,Associação Privada,2018.0,,,APARECIDA,Cultura e recreação,Esporte e recreação
INSTITUTO FACONTI,,Associação Privada,2018.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
EGYDIO MARTINS DE SANTOS ASSOCIACAO,,Associação Privada,2019.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ESPORTES SANTA CECILIA - ESC,ESC,Associação Privada,2019.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
GRUPO ASSOCIADO DE ESTUDOS E PESQUISAS SOBRE HISTORIA DA EDUCACAO MATEMATICA (GHEMAT - BRASIL),,Associação Privada,2019.0,,,ENCRUZILHADA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO DE ESTUDOS UNIVERSALISTAS DA MEIA NOITE,CEU DA MEIA NOITE,Organização Religiosa,2019.0,,,VILA MATHIAS,Religião,Religião
SOCIEDADE DE AMOR E ASSISTENCIA AOS MORADORES DE RUA CRISTO REDENTOR,,Associação Privada,2018.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
SANTOS BEISEBOL CLUBE,SANTOS BEISEBOL CLUBE,Associação Privada,2019.0,,,RADIO CLUBE,Cultura e recreação,Esporte e recreação
NUCLEO DE UMBANDA SAGRADA FILHOS DE ARUANDA - JUREMA FLECHEIRA,,Organização Religiosa,2019.0,,,VILA MATHIAS,Religião,Religião
IGREJA NACAO DA FE,,Organização Religiosa,2019.0,,,ESTUARIO,Religião,Religião
CEU AYAHUASCA PIRACICABA,CEU PIRACICABA,Organização Religiosa,2019.0,,,APARECIDA,Religião,Religião
PROJETO SOCIAL SAI DA RUA MULEKE,PROJETO SAI DA RUA MULEKE,Associação Privada,2019.0,,,SAO JORGE,Desenvolvimento e defesa de direitos,Outros
INSTITUTO INOVARE - SOLUCOES SOCIOAMBIENTAIS,INSTITUTO SANTOS LIXO ZERO - LIXO ZERO BAIXADA SANTISTA,Associação Privada,2019.0,,,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO FAMILIA CASA DE ORACAO,IGREJA EVANGELICA CASA DE ORACAO,Associação Privada,2019.0,,,VILA MATHIAS,Religião,Religião
ASSOCIACAO FUNK DO BEM BAIXADA SANTISTA,,Associação Privada,2018.0,,,CENTRO,Cultura e recreação,Cultura e arte
GREMIO FRI - KIK PRAIA CLUBE,GREMIO FRI - KIK PRAIA CLUBE,Associação Privada,2015.0,,,POMPEIA,Cultura e recreação,Esporte e recreação
FEDERACAO DE TENIS DE MESA DO ESTADO DE SAO PAULO,FTMSP,Associação Privada,2019.0,,,CENTRO,Cultura e recreação,Esporte e recreação
JUNIOR INTERDISCIPLINAR DA UNIVERSIDADE FEDERAL DE SAO PAULO - UNIFESP/ CAMPUS BAIXADA SANTISTA,TRINUS JR.,Associação Privada,2018.0,,,VILA MATHIAS,Educação e pesquisa,Atividades de apoio à educação
ASSOCIACAO VENTO AZUL,ASSOCIACAO VENTO AZUL,Associação Privada,2019.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO LOGOSOFICO - SANTOS-SP,,Associação Privada,2019.0,,,MARAPE,Educação e pesquisa,Outras formas de educação/ensino
COMUNIDADE MISSIONARIA PAO VIVO,COMUNIDADE MISSIONARIA PAO VIVO,Organização Religiosa,2018.0,,,CHICO DE PAULA,Religião,Religião
INSTITUTO COMPADRE XICO,INSTITUTO COMPADRE XICO,Associação Privada,2019.0,,,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO BRASILEIRA DE FOMENTO AO EMPREENDEDORISMO FEMININO - EMPREENDEDORAS 55,EMPREENDEDORAS 55,Associação Privada,2019.0,,,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DESPORTIVA JUNTOS DENTRO E FORA D'AGUA,ADJDFA,Associação Privada,2019.0,,,PONTA DA PRAIA,Cultura e recreação,Esporte e recreação
COMUNIDADE CRISTA SANTISTA,CG SANTOS,Organização Religiosa,2019.0,,,MACUCO,Religião,Religião
INSTITUTO LUTHER KING,ILK,Associação Privada,2019.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO AMIGOS DA EQUOTERAPIA,,Associação Privada,2019.0,,,BOQUEIRAO,Saúde,Outros serviços de saúde
CENTRO EDUCACIONAL SEMEANDO VIDAS NA ALEMOA CESVA,CESVA,Associação Privada,2019.0,,,CHICO DE PAULA,Desenvolvimento e defesa de direitos,Outros
INSTITUTO AMIGU  ENSINO DE TECNOLOGIA PARA FAMILIAS,PROJETO AMIGU,Associação Privada,2019.0,,,VILA MATHIAS,Educação e pesquisa,Outras formas de educação/ensino
ASSOCIACAO COMUNITARIA COALIZAO SANTOS SOBRE DROGAS,COALIZAO SANTOS,Associação Privada,2019.0,,,CENTRO,Assistência social,Assistência social
ANFIPA - ASSOCIACAO NACIONAL EM DEFESA DOS FILHOS PELA IGUALDADE PARENTAL,ANFIPA,Associação Privada,2019.0,,,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO DOS PROFISSIONAIS DA AREA DE SEGURANCA, VIGILNCIA E SIMILARES DO LITORAL DE SAO PAULO",,Associação Privada,2017.0,,,SABOO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO CONSTRUINDO O AMANHA,ICA- INSTITUTO CONSTRUINDO O AMANHA,Associação Privada,2018.0,,,APARECIDA,Cultura e recreação,Cultura e arte
A.R.S.C. TORCIDA ORGANIZADA CAMISA 10 DO SANTOS F.C.,CAMISA 10,Associação Privada,2019.0,,,MORRO NOVA CINTRA,Cultura e recreação,Cultura e arte
ASSOCIACAO ESPIRITA GRANDE LAR DE MARIA,,Organização Religiosa,2019.0,,,APARECIDA,Religião,Religião
INSTITUTO ESPORTIVO BRASILEIRO PARA PROMOCAO DA QUALIDADE DE VIDA E INCLUSAO SOCIAL,,Associação Privada,2019.0,,,BOQUEIRAO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO BOMBEIROS CIVIS UNIDOS DA BAIXADA SANTISTA,ASSOCIACAO BOMBEIROS CIVIS UNIDOS DA BAIXADA SANTISTA,Associação Privada,2019.0,,,VILA NOVA,Desenvolvimento e defesa de direitos,Outros
CENTRO ESPIRITA ILE AXE ALAKETU DANGBE,,Organização Religiosa,2019.0,,,PONTA DA PRAIA,Religião,Religião
"REDE CICLE - CONVIVENCIA E INTEGRACAO POR MEIO DA CULTURA, LAZER E ESPORTE",REDE CICLE,Associação Privada,2019.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
CENTRO ESPIRITA PAI TUPIARA DE UMBANDA AFRO BRASILEIRA,,Organização Religiosa,2019.0,,,CARUARA,Religião,Religião
AUGUSTA E RESPEITAVEL LOJA SIMBOLICA CAVALEIROS DE SAO JOAO D' ACRE,ARLS CAVALEIROS DE SAO JOAO D' ACRE,Associação Privada,2019.0,,,VILA MATHIAS,Religião,Religião
INSTITUTO CAPAZ,CAPAZ,Associação Privada,2019.0,,,VILA BELMIRO,Desenvolvimento e defesa de direitos,Outros
INSTITUTO MATA VERDE,INSTITUTO MATA VERDE,Organização Religiosa,2019.0,,,VILA MATHIAS,Religião,Religião
ASSOCIACAO DE APOIO AS PORTADORAS DE ENDOMETRIOSE - ENDOMULHERES BAIXADA SANTISTA,,Associação Privada,2019.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
AMA - ASSOCIACAO MAO AMIGAS,IDEAA INSTITUTO DE EDUCACAO ALIMENTAR E AMBIENTAL,Associação Privada,2019.0,,,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
MINISTERIO EVANGELICO PODER DA TRINDADE,,Organização Religiosa,2019.0,,,VILA BELMIRO,Religião,Religião
"INSTITUTO MIXTURA CULTURAL  DE ACAO SOCIAL - ARTE, GASTRONOMIA E TURISMO",MIXTURA CULTURAL,Associação Privada,2019.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
"ASSOCIACAO SANTISTA VAA CANOAGEM HAVAIANA, EDUCACAO AMBIENTAL E ORGANIZACAO DE EVENTOS ESPORTIVOS",,Associação Privada,2019.0,,,APARECIDA,Cultura e recreação,Cultura e arte
USC SAUDE,,Organização Social,2020.0,,,BOQUEIRAO,Saúde,Outros serviços de saúde
USC SAUDE,,Organização Social,2020.0,,,MARAPE,Saúde,Outros serviços de saúde
ANPLI - ASSOCIACAO NACIONAL DOS PROFISSIONAIS LIBERAIS,,Associação Privada,1990.0,,,CENTRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO YAHWEH WORSHIP INSTITUTE,,Associação Privada,2019.0,,,VILA MATHIAS,Religião,Religião
ASSOCIACAO SANTISTA DE LONGBOARDER,ASL,Associação Privada,2019.0,,,MARAPE,Cultura e recreação,Esporte e recreação
XAVIER PINHEIRO DE SANTOS ASSOCIACAO,,Associação Privada,2020.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO  SANGUE JOVEM SANTOS,SANGUE JOVEM SANTOS,Associação Privada,2020.0,,,CENTRO,Cultura e recreação,Cultura e arte
SAO PEDRO DE SANTOS ASSOCIACAO,,Associação Privada,2020.0,,,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
BERNARDINO DE CAMPOS DE SANTOS ASSOCIACAO,,Associação Privada,2020.0,,,CAMPO GRANDE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
SAO MATEUS DE SANTOS ASSOCIACAO,,Associação Privada,2020.0,,,GONZAGA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DE MORADORES E AMIGOS PE NA AREIA,,Associação Privada,2020.0,,,JOSE MENINO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
AMAL SHRINERS CLUBE INTERNACIONAL DO LITORAL,AMAL SHRINERS CLUBE DO LITORAL,Associação Privada,2020.0,,,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO XAMANICO CONSCIENCIA CRIATIVA,,Associação Privada,2020.0,,,APARECIDA,Religião,Religião
TENDA DE UMBANDA PAI JOAQUIM DE ANGOLA & PAI BENEDITO DE ARUANDA,,Organização Religiosa,2020.0,,,APARECIDA,Religião,Religião
PRIMEIRA IGREJA BATISTA DA LAGOINHA EM SANTOS,PRIMEIRA IGREJA BATISTA DA LAGOINHA EM SANTOS,Organização Religiosa,2020.0,,,ENCRUZILHADA,Religião,Religião
AMILES - ASSOCIACAO DE MINISTROS E LIDERES EVANGELICOS DE SANTOS,AMILES,Associação Privada,2020.0,,,VILA NOVA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO SINDEST,,Associação Privada,2020.0,,,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO BRASILEIRA DOS USUARIOS DO SISTEMA UNICO DE SAUDE - ABUSUS,,Associação Privada,2019.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ROTARY CLUB DE SANTOS - BRAS CUBAS,,Associação Privada,2020.0,,,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO OSCAR KARATE-DO EDUCACIONAL,ASSOCIACAO OSCAR KARATE-DO EDUCACIONAL,Associação Privada,2019.0,,,CASTELO,Cultura e recreação,Esporte e recreação
ASSOCIACAO BENEFICENTE TRIPULANTES DO BEM,,Associação Privada,2020.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
"ASSOCIACAO DE MORADORES DA RUA JOAO CARLOS DA SILVA E ADJACENCIAS DO BAIRRO SAO MANOEL, SANTOS-SP",,Associação Privada,2020.0,,,SAO MANOEL,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO AGITO ESPACO DE VIVENCIA,ASSOCIACAO AGITO ESPACO DE VIVENCIA,Associação Privada,2020.0,,,PONTA DA PRAIA,Cultura e recreação,Cultura e arte
ASSOCIACOES FRATERNAS SAO JOAO   ASFRASJ,ASFRASJ,Associação Privada,2020.0,,,VILA NOVA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IGREJA BATISTA PENIEL,IGREJA BATISTA PENIEL - VILA BELMIRO,Organização Religiosa,2018.0,,,VILA BELMIRO,Religião,Religião
IGREJA BATISTA PENIEL,,Organização Religiosa,2019.0,,,GONZAGA,Religião,Religião
UNAFISCO  NACIONAL - ASSOCIACAO NACIONAL DOS AUDITORES-FISCAIS DA RECEITA FEDERAL DO BRASIL,UNAFISCO SECCIONAL SANTOS,Associação Privada,2018.0,,,POMPEIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO ATLETICA ACADEMICA ALEXANDRE DE GUSMAO,,Associação Privada,1985.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
ASSOCIACAO DA IRMANDADE DA SANTA CASA DE MISERICORDIA DE PACAEMBU,AMBULATORIO MEDICO DE ESPECIALIDADES-AME SANTOS,Associação Privada,2018.0,,,APARECIDA,Saúde,Outros serviços de saúde
ASSOCIACAO DA IRMANDADE DA SANTA CASA DE MISERICORDIA DE PACAEMBU,CENTRO DE MEDICINA DE REABILITACAO LUCY MONTORO-SANTOS,Associação Privada,2019.0,,,APARECIDA,Saúde,Outros serviços de saúde
ASSOCIACAO DA IRMANDADE DA SANTA CASA DE MISERICORDIA DE PACAEMBU,POLO DE A INT EM SAUDE MENTAL B SANTISTA - PAI-BAIXADA,Associação Privada,2019.0,,,BOQUEIRAO,Saúde,Hospitais
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA,IASD SANTOS - SANTOS,Organização Religiosa,2018.0,,,ENCRUZILHADA,Religião,Religião
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA,IASD DE VILA SAO JORGE - SANTOS,Organização Religiosa,2018.0,,,SAO JORGE,Religião,Religião
SANTOS FUTEBOL CLUBE,CASA MENINOS DA VILA,Associação Privada,2019.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
IRMANDADE DA SANTA CASA DE MISERICORDIA DE SANTOS,PRONTO SOCORRO SANTA CASA DE SANTOS,Associação Privada,2020.0,,,JABAQUARA,Saúde,Outros serviços de saúde
JESUS A CHAVE DE UMBANDA,,Associação Privada,1970.0,,,SANTA MARIA,Religião,Religião
SOCIEDADE BENEF ISRAELITABRAS HOSPITAL ALBERT EINSTEIN,,Associação Privada,2020.0,,,GONZAGA,Saúde,Outros serviços de saúde
SPDM - ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,SPDM - PAIS - UPA ZONA NOROESTE,Associação Privada,2019.0,,,AREIA BRANCA,Saúde,Hospitais
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,,Associação Privada,2020.0,,,CASTELO,Assistência social,Assistência social
ASSOCIACAO BENEF DA G PORT DA CIA DOCAS DO EST S PAULO,,Associação Privada,1971.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
CENTRO ESPIRITA DE UMBANDA CABOCLO PENA VERDE,,Associação Privada,1973.0,,,EMBARE,Religião,Religião
ASSOCIACAO IBSEN MONFORT,ASSOCIACAO IBSEN MONFORT,Associação Privada,2012.0,,,GONZAGA,Cultura e recreação,Esporte e recreação
INSTITUTO PRO-ACAO ESPORTE E MEIO AMBIENTE,IPAEMA,Associação Privada,2016.0,,,MARAPE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
TENDA ESPIRITA VOVO JOANA D'ANGOLA E CABOCLO PENA VERDE,,Organização Religiosa,2019.0,,,SABOO,Religião,Religião
ASSOCIACAO VELHA GUARDA DO JARDIM BOM RETIRO,,Associação Privada,2019.0,,,SANTA MARIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO MINISTERIO INTERDENOMINACIONAL CASA MISSIONARIA JESUS TE AMA,CASA MISSIONARIA,Associação Privada,2019.0,,,CENTRO,Desenvolvimento e defesa de direitos,Outros
VIDAS RECICLADAS,VILA GILDA SANTOS,Associação Privada,2020.0,,,RADIO CLUBE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS TRABALHADORES APOSENTADOS EM ESTABELECIMENTOS DE SERVICO DE SAUDE DE SANTOS E LITORAIS NORTE E SUL,,Associação Privada,2020.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO VIVER A VIDA EVA CAROLLINE,ASSOCIACAO VIVER A VIDA EVA CAROLLINE,Associação Privada,2020.0,,,CAMPO GRANDE,Desenvolvimento e defesa de direitos,Outros
LAR SINTONIA ESPIRITA,LAR SINTONIA ESPIRITA,Associação Privada,2020.0,,,EMBARE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO GUARDIA DO TEMPLO - AGT,,Associação Privada,2020.0,,,VILA MATHIAS,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO CASA DO OGAN,,Associação Privada,2020.0,,,CASTELO,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO PARA O MELHORAMENTO VILA GILDA E CAMINHO DA DIVISA,ASSOCIACAO VILA GILDA E CAMINHO DA DIVISA,Associação Privada,2020.0,,,RADIO CLUBE,Desenvolvimento e defesa de direitos,Outros
LOJA SIMBOLICA 'VALTER PRANDO N.883','LOJA MACONICA VALTER PRANDO N.883',Associação Privada,2020.0,,,VILA MATHIAS,Religião,Religião
CENTRO DE ESTUDOS E PESQUISAS DR JOAO AMORIM,CENTRO DE MEDICINA DE REAB. LUCY MONTORO - SANTOS,Associação Privada,2020.0,,,APARECIDA,Saúde,Outros serviços de saúde
MINISTERIO EVANGELICO ANUNCIANDO O REINO DE DEUS AS NACOES,,Organização Religiosa,2020.0,,,ENCRUZILHADA,Religião,Religião
INSTITUTO MENSAGEIROS DA VERDADE MACUCO,,Associação Privada,2020.0,,,MACUCO,Desenvolvimento e defesa de direitos,Outros
FORCA TAREFA BRASILEIRA,F.T.B,Associação Privada,2020.0,,,MONTE CABRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
CENTRO ESPIRITA CASA ROSA BRANCA DE SANTOS,CENTRO ESPIRITA CASA ROSA BRANCA DE SANTOS,Organização Religiosa,2020.0,,,ESTUARIO,Religião,Religião
ASSOCIACAO PATINACAO PARA TODOS - APT,ASSOCIACAO PATINACAO PARA TODOS - APT,Associação Privada,2020.0,,,CAMPO GRANDE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DOS CORRETORES DE IMOVEIS DO ESTADO DE SAO PAULO,,Associação Privada,2021.0,,,VILA BELMIRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
LIGA DE CLUBES DE VA A SANTISTA,,Associação Privada,2021.0,,,PONTA DA PRAIA,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO DOS MORADORES E COMERCIANTES DA CAMPOS MELO - AMOCCAM,,Associação Privada,2021.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
NOSSA SENHORA DO MONTE SERRAT ASSOCIACAO,,Associação Privada,2021.0,,,BOQUEIRAO,Cultura e recreação,Esporte e recreação
SANTO AGOSTINHO ASSOCIACAO,,Associação Privada,2021.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
TAUPET,INSTITUTO TAUPET,Associação Privada,2021.0,,,MORRO NOVA CINTRA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
FORUM EMPRESARIAL HISPANO-BRASILEIRO,FEHB,Associação Privada,2021.0,,,VILA MATHIAS,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
ASSOCIACAO DAS ADEGAS DA BAIXADA SANTISTA,,Associação Privada,2021.0,,,MACUCO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DE LIDERES DA SAUDE - LISA,,Associação Privada,2021.0,,,GONZAGA,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
INSTITUTO KITAI DE DESENVOLVIMENTO DO JUDO,INSTITUTO KITAI,Associação Privada,2021.0,,,PONTA DA PRAIA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ORGANIZACAO SOCIAL BENEFICENTE CRISTA DE ASSISTENCIA SOCIAL A SAUDE E EDUCACAO - ORGANIZACAO MAOS AMIGAS,,Organização Social,2021.0,,,CAMPO GRANDE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
OCEAN SOUND,,Associação Privada,2021.0,,,EMBARE,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DE AMOR A CRIANCA ARCANJO RAFAEL,,Associação Privada,2021.0,,,MARAPE,Assistência social,Assistência social
IGREJA CALVARY SANTOS,,Organização Religiosa,2021.0,,,CAMPO GRANDE,Religião,Religião
TEMPLO COSMICO AYAHUASCA E QUANTICA,,Associação Privada,2021.0,,,APARECIDA,Religião,Religião
FUNDACAO INSTITUTO DE PESQUISA E ESTUDO DE DIAGNOSTICO POR IMAGEM - FIDI,FUNDACAO INST DE PESQ E EST DE DIAG POR IMAGEM - FIDI,Fundação Privada,2021.0,,,ENCRUZILHADA,Saúde,Outros serviços de saúde
"ASSOCIACAO DA PARADA DO ORGULHO DE LESBICAS, GAYS, BISSEXUAIS, TRAVESTIS E TRANSGENEROS DE SANTOS",APOLGBT SANTOS,Associação Privada,2021.0,,,VILA MATHIAS,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO REDE CONCEITO,,Associação Privada,2021.0,,,BOQUEIRAO,Cultura e recreação,Cultura e arte
ASSOCIACAO DE AMPARO PROJETO CAJU,,Associação Privada,2021.0,,,ENCRUZILHADA,Desenvolvimento e defesa de direitos,Outros
GRANDE LOJA DE ESTUDOS MACONICO DO BRASIL G L E M B,,Associação Privada,2021.0,,,CENTRO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
INSTITUTO SAO JOAO CRISOSTOMO,,Associação Privada,2021.0,,,APARECIDA,Educação e pesquisa,Atividades de apoio à educação
HYGEA,HYGEA,Associação Privada,2021.0,,,VILA MATHIAS,Saúde,Outros serviços de saúde
LIGA REGIONAL DE FUTEVOLEI DO LITORAL PAULISTA (LRFVLP),,Associação Privada,2021.0,,,EMBARE,Cultura e recreação,Esporte e recreação
ASSOCIACAO BRASILEIRA DOS LICITANTES DE LEILOES PUBLICOS,ABLLP,Associação Privada,2021.0,,,VALONGO,"Associações patronais, profissionais e de produtores rurais",Associações empresariais e patronais
INSTITUTO CAMINHO DA LUZ,,Associação Privada,2021.0,,,EMBARE,Desenvolvimento e defesa de direitos,Outros
ASSOCIACAO CULTURAL SENHOR JESUS,SENHOR JESUS IGREJA VIVA,Associação Privada,2021.0,,,APARECIDA,Outras atividades associativas,Associações de atividades não especificadas anteriormente
ASSOCIACAO DE ASSISTENCIA SOCIAL EVOLUCAO,ESCOLA DE EDUCACAO INCLUSIVA CELIA PFEIFER,Associação Privada,2021.0,,,EMBARE,Educação e pesquisa,Ensino fundamental
ASSOCIACAO BRASILEIRA DE BENFEITORIAS,ABBENF,Associação Privada,2021.0,,,GONZAGA,Desenvolvimento e defesa de direitos,Outros
SANPRO JR.,SANPRO JR.,Associação Privada,2021.0,,,BOQUEIRAO,Educação e pesquisa,Atividades de apoio à educação
TOCA DE ASSIS IRMAS,,Associação Privada,2021.0,,,VILA MATHIAS,Assistência social,Assistência social
SANTA JULIA ASSOCIACAO,,Associação Privada,2021.0,,,BOQUEIRAO,Outras atividades associativas,Associações de atividades não especificadas anteriormente
